Sn,Ag,Cu,Bi,In,Ti,Ni,Fe,Mn,Ge,'shear strength'
94.2,3.8,0.7,0.5,0.8,0,0,0,0,0,85.4
92.2,3.8,0.7,0.5,2.8,0,0,0,0,0,96.96
92.7,3.8,0.7,2,0.8,0,0,0,0,0,103.35
90.7,3.8,0.7,2,2.8,0,0,0,0,0,102.08
91.2,3.8,0.7,3.5,0.8,0,0,0,0,0,93.66
89.2,3.8,0.7,3.5,2.8,0,0,0,0,0,98.24
89.6,3.8,0.7,1.5,4.4,0,0,0,0,0,88.52
93.5,3.8,0.7,2,0,0,0,0,0,0,98.7
91.5,3.8,0.7,2,2,0,0,0,0,0,105.9
94,3.8,0.7,1.5,0,0,0,0,0,0,79.71
94.7,3.8,0.7,0,0.8,0,0,0,0,0,79.92
92.7,3.8,0.7,0,2.8,0,0,0,0,0,88.22
88.5,3,0.5,0,8,0,0,0,0,0,60.54
42,0,0,58,0,0,0,0,0,0,50.47
42,0.4,0,57.6,0,0,0,0,0,0,50.82
41.6,0.4,0,58,0,0,0,0,0,0,55.1
95.6,3.5,0.9,0,0,0,0,0,0,0,28.1
95.55,3.5,0.9,0,0,0,0,0,0,0,19.5
95.59,3.5,0.9,0,0,0,0,0.01,0,0,36.2
95.57,3.5,0.9,0,0,0,0,0.03,0,0,30.2
95.55,3.5,0.9,0,0,0,0,0.05,0,0,28.8
95.53,3.5,0.9,0,0,0,0,0.07,0,0,34.4
95.5,3.5,0.9,0,0,0,0,0.1,0,0,33.1
89.4,3.8,0.7,1.5,4.4,0.2,0,0,0,0,77.15
92.4,1,0.5,1.5,4.4,0.2,0,0,0,0,84.54
93,3.8,0.7,1.5,0,0,0,0,0,1,84.17
95,3.8,0.7,0,0,0,0,0,0,0.5,73.33
94.5,3.8,0.7,0,0,0,0,0,0,1,77.51
98,1,0.5,0,0,0,0,0,0,0.5,67.13
97.5,1,0.5,0,0,0,0,0,0,1,78.24
98.5,1,0.5,0,0,0,0,0,0,0,64.35
91.3,3.8,0.7,2,2,0,0.2,0,0,0,103.43
96.5,3,0.5,0,0,0,0,0,0,0,22.4
96.495,3,0.5,0,0,0,0,0,0.005,0,28.15
96.49,3,0.5,0,0,0,0,0,0.01,0,24.13
96.45,3,0.5,0,0,0,0,0,0.05,0,27.42
96.4,3,0.5,0,0,0,0,0,0.1,0,21.51
96.43,3,0.5,0,0,0,0,0,0.07,0,28.14
96.38,3,0.5,0,0,0,0,0,0.12,0,23.17
96.47,3,0.5,0,0,0,0,0,0.03,0,25.2
91.1,3.8,0.7,2,2,0,0.4,0,0,0,104.63
92.7,1,0.5,3,2.5,0.3,0,0,0,0,75.71
92.6,1,0.5,2.5,3.3,0.1,0,0,0,0,72.94
92.5,1,0.5,2.5,3.3,0.2,0,0,0,0,75.06
90.7,1,0.5,5,2.5,0.3,0,0,0,0,88.26
90.5,1,0.5,5,2.5,0.5,0,0,0,0,88.75
99.3,0,0.7,0,0,0,0,0,0,0,36.05
99.29,0,0.7,0,0,0,0.01,0,0,0,36.82
99.27,0,0.7,0,0,0,0.03,0,0,0,36.01
99.25,0,0.7,0,0,0,0.05,0,0,0,37.74
99.22,0,0.7,0,0,0,0.08,0,0,0,36.07
99.16,0,0.7,0,0,0,0.14,0,0,0,36.08
99.1,0,0.7,0,0,0,0.2,0,0,0,36.11
98.25,0,0.7,1,0,0,0.05,0,0,0,49.40169434
97.75,0,0.7,1.5,0,0,0.05,0,0,0,52.45746924
97.25,0,0.7,2,0,0,0.05,0,0,0,55.51324415
96.25,0,0.7,3,0,0,0.05,0,0,0,57.0411316
95.25,0,0.7,4,0,0,0.05,0,0,0,68.2456396
93.25,0,0.7,6,0,0,0.05,0,0,0,71.14862576
91.25,0,0.7,8,0,0,0.05,0,0,0,65.4445126
