Sn,Ag,Cu,Bi,In,Ti,Ni,Al,Fe,Mn,Ge
94.2,3.8,0.7,0.5,0.8,0,0,0,0,0,0
92.2,3.8,0.7,0.5,2.8,0,0,0,0,0,0
92.7,3.8,0.7,2,0.8,0,0,0,0,0,0
90.7,3.8,0.7,2,2.8,0,0,0,0,0,0
91.2,3.8,0.7,3.5,0.8,0,0,0,0,0,0
89.2,3.8,0.7,3.5,2.8,0,0,0,0,0,0
89.6,3.8,0.7,1.5,4.4,0,0,0,0,0,0
93.5,3.8,0.7,2,0,0,0,0,0,0,0
91.5,3.8,0.7,2,2,0,0,0,0,0,0
94,3.8,0.7,1.5,0,0,0,0,0,0,0
94.7,3.8,0.7,0,0.8,0,0,0,0,0,0
92.7,3.8,0.7,0,2.8,0,0,0,0,0,0
88.5,3,0.5,0,8,0,0,0,0,0,0
42,0,0,58,0,0,0,0,0,0,0
42,0.4,0,57.6,0,0,0,0,0,0,0
41.6,0.4,0,58,0,0,0,0,0,0,0
95.6,3.5,0.9,0,0,0,0,0,0,0,0
95.55,3.5,0.9,0,0,0,0,0.05,0,0,0
95.59,3.5,0.9,0,0,0,0,0,0.01,0,0
95.57,3.5,0.9,0,0,0,0,0,0.03,0,0
95.55,3.5,0.9,0,0,0,0,0,0.05,0,0
95.53,3.5,0.9,0,0,0,0,0,0.07,0,0
95.5,3.5,0.9,0,0,0,0,0,0.1,0,0
89.4,3.8,0.7,1.5,4.4,0.2,0,0,0,0,0
92.4,1,0.5,1.5,4.4,0.2,0,0,0,0,0
93,3.8,0.7,1.5,0,0,0,0,0,0,1
95,3.8,0.7,0,0,0,0,0,0,0,0.5
94.5,3.8,0.7,0,0,0,0,0,0,0,1
98,1,0.5,0,0,0,0,0,0,0,0.5
97.5,1,0.5,0,0,0,0,0,0,0,1
98.5,1,0.5,0,0,0,0,0,0,0,0
91.3,3.8,0.7,2,2,0,0.2,0,0,0,0
96.5,3,0.5,0,0,0,0,0,0,0,0
96.495,3,0.5,0,0,0,0,0,0,0.005,0
96.49,3,0.5,0,0,0,0,0,0,0.01,0
96.45,3,0.5,0,0,0,0,0,0,0.05,0
96.4,3,0.5,0,0,0,0,0,0,0.1,0
96.43,3,0.5,0,0,0,0,0,0,0.07,0
96.38,3,0.5,0,0,0,0,0,0,0.12,0
96.47,3,0.5,0,0,0,0,0,0,0.03,0
91.1,3.8,0.7,2,2,0,0.4,0,0,0,0
92.7,1,0.5,3,2.5,0.3,0,0,0,0,0
92.6,1,0.5,2.5,3.3,0.1,0,0,0,0,0
92.5,1,0.5,2.5,3.3,0.2,0,0,0,0,0
90.7,1,0.5,5,2.5,0.3,0,0,0,0,0
90.5,1,0.5,5,2.5,0.5,0,0,0,0,0
99.3,0,0.7,0,0,0,0,0,0,0,0
99.29,0,0.7,0,0,0,0.01,0,0,0,0
99.27,0,0.7,0,0,0,0.03,0,0,0,0
99.25,0,0.7,0,0,0,0.05,0,0,0,0
99.22,0,0.7,0,0,0,0.08,0,0,0,0
99.16,0,0.7,0,0,0,0.14,0,0,0,0
99.1,0,0.7,0,0,0,0.2,0,0,0,0
98.25,0,0.7,1,0,0,0.05,0,0,0,0
97.75,0,0.7,1.5,0,0,0.05,0,0,0,0
97.25,0,0.7,2,0,0,0.05,0,0,0,0
96.25,0,0.7,3,0,0,0.05,0,0,0,0
95.25,0,0.7,4,0,0,0.05,0,0,0,0
93.25,0,0.7,6,0,0,0.05,0,0,0,0
91.25,0,0.7,8,0,0,0.05,0,0,0,0
